id;description;hscode;country_of_origin;name_of_manufacturer;value_of_materials_non_originating;value_of_material_originating
1;Ergonomic Frozen;Unbranded Cotton Pizza Buckinghamshire;Markets salmon;aggregate;37208;97716
2;quantify Focused multi-byte;Rustic Savings Account pixel;SAS;purple SCSI;1659;33511
3;Libyan Dinar disintermediate transitional;Nevada;service-desk array;copy Licensed Granite Fish;73609;67097
4;quantifying withdrawal Home Loan Account;panel Rhode Island;Estonia Naira;Ohio Checking Account;92676;15385
5;Bahamian Dollar Brunei Dollar Chair;Avon navigating Personal Loan Account;solid state Zimbabwe Dollar Personal Loan Account;connecting;87186;31963
6;Car IB;purple Music strategize;sky blue;white;4063;58261
7;Fish Savings Account transmitting;payment Program invoice;redefine transition Chair;Accounts sky blue;66138;60980
8;hacking Pennsylvania framework;azure Decentralized Light;AI parsing;Divide;44007;70061
9;Colorado;Sleek Fresh Chair;Stand-alone;Plaza capacitor;56821;699
10;Savings Account deposit IB;quantify Intelligent Wooden Gloves;quantifying;Jamaican Dollar Sausages back-end;96764;11879
