id;external_id;description_of_goods;hs_code;unit;quantity;value
1;override bypassing Practical;Puerto Rico ADP;Division systematic;plum;68341;28016
2;quantifying Gorgeous Metal Sausages reboot;Unbranded generating leading-edge;Security lavender online;Chips Investment Account Dynamic;29538;23813
3;olive Codes specifically reserved for testing purposes;overriding;Morocco Myanmar Incredible;gold navigate;44560;73176
4;Quality Towels Data;Administrator Bike Branding;Bike Svalbard & Jan Mayen Islands;Chips invoice;92695;16620
5;haptic empower;Buckinghamshire;Leone open system;open-source parsing projection;8043;11322
6;withdrawal;Saint Pierre and Miquelon Towels Avon;Handmade Fresh Soap;Latvia;97700;40259
7;Cotton;New Jersey Frozen;grey;implement North Korean Won enterprise;2664;58570
8;Forward;Pakistan RSS;Metal;web services;41040;46520
9;Wooden Gorgeous;regional indexing Configuration;Rustic Wooden Gloves Optional Moroccan Dirham;bus Money Market Account bluetooth;66399;78208
10;open-source Soft override;CSS;connect Face to face;Credit Card Account;33952;86509
