id;name_of_manufacturer;unique_entity_number;fta_scheme;is_qrvc;is_ctc;is_mp;description_of_goods;model;hs_code_of_goods;statement_date;incoterm_of_fta;fob_value_of_goods;no_of_mcs_units;direct_labour_cost;direct_overhead_cost;profit;other_cost;is_declared_1;declaring_name_1;declare_position_1;declare_on_1;is_declared_2;declaring_name_2;declare_position_2;declare_on_2;is_declared_3;declaring_name_3;declare_position_3;declare_on_3;total_non_orig_mat;total_orig_mat;qvc_rvc;status;created_on
1;payment compress;JSON Producer;JSON;true;true;true;Consultant implementation;Belarussian Ruble;navigating Division synergize;2020-09-14T03:53:13;monitor;62534;93436;20633;47817;27388;25790;true;Games mesh;parsing 24 hour;2020-09-13T11:00:01;true;ADP;open-source Legacy Zimbabwe;2020-09-13T17:25:05;false;Beauty;California;2020-09-13T09:45:43;84662;40347;31436;CANCELLED;2020-09-14T04:36:03
2;payment Regional;Borders invoice Alaska;Soap SAS;false;false;false;Rhode Island;impactful navigate Garden;intuitive Quality needs-based;2020-09-14T04:28:02;SDD COM Cotton;78581;54963;82514;77121;72090;90217;true;foreground;web services payment digital;2020-09-13T12:06:52;true;deposit;Faroe Islands functionalities;2020-09-14T00:35:16;false;Rubber Mouse;Connecticut;2020-09-13T22:48:50;73774;61661;52829;OPEN;2020-09-13T23:54:35
3;Vision-oriented hack Tugrik;USB;haptic indigo;false;false;false;knowledge base Sleek Soft Car Cayman Islands;indigo Bike Up-sized;bricks-and-clicks;2020-09-13T21:06:54;Integration Web Infrastructure;32332;55662;12664;38366;99458;41088;false;TCP;circuit;2020-09-14T06:33:46;true;customized Security;card Regional Georgia;2020-09-13T12:49:20;false;Small;compressing;2020-09-13T19:49:57;6196;69059;64880;CANCELLED;2020-09-13T10:23:45
4;reboot;Ports invoice Personal Loan Account;Credit Card Account;true;true;true;Integration;Coves Rustic Granite Sausages;Planner empower;2020-09-14T07:34:25;United States Minor Outlying Islands Cambridgeshire supply-chains;19853;4869;93798;7402;46179;33990;true;Rubber Granite;Distributed Assistant;2020-09-14T07:01:27;true;magenta;Cliff compress backing up;2020-09-13T22:46:36;false;synthesizing;holistic Integration;2020-09-13T22:18:10;27428;79153;52452;CANCELLED;2020-09-13T12:53:09
5;Chips;Generic Granite Shirt payment;Hryvnia Robust frame;true;false;true;Unbranded Checking Account Direct;Fresh;digital Savings Account;2020-09-14T03:37:53;Berkshire;19511;47115;17317;86583;40243;93157;false;Garden groupware;Analyst;2020-09-13T17:58:16;false;index New Hampshire compress;Savings Account Exclusive;2020-09-13T17:41:51;false;user-centric;paradigms;2020-09-13T21:13:41;33910;13967;53711;CANCELLED;2020-09-13T19:42:27
6;connecting;Minnesota Infrastructure open-source;Arkansas clicks-and-mortar;false;true;true;withdrawal;Throughway Street;Som;2020-09-13T09:55:12;Refined Plastic Keyboard Ohio;36012;32164;63442;20118;6169;27823;false;Roads intermediate Rubber;intermediate Awesome California;2020-09-13T13:47:42;true;XSS Agent Glens;Mobility;2020-09-13T12:13:09;true;open system payment;transmit;2020-09-13T19:40:32;57305;64174;408;CANCELLED;2020-09-14T01:11:08
7;Cotton asynchronous Buckinghamshire;bypass;Money Market Account Small;false;false;true;Ethiopian Birr Congolese Franc;Bulgarian Lev override Operations;Ergonomic Frozen Cheese;2020-09-13T17:50:06;sky blue;4804;9854;1599;85959;99850;17800;false;circuit;Somoni;2020-09-13T17:58:38;true;Functionality Sports syndicate;sky blue Implemented turquoise;2020-09-14T00:01:28;true;Technician Cotton Awesome Plastic Computer;Nigeria Plastic;2020-09-14T00:19:16;3734;27315;18440;OPEN;2020-09-14T08:05:44
8;Plastic wireless Refined;Direct Thailand;Applications Shoes;true;true;true;synergies Falls Planner;deploy Buckinghamshire solution;analyzing Small Wooden Soap cross-platform;2020-09-14T07:55:50;online Pizza Macao;98280;83253;15384;40734;87876;35072;true;programming Checking Account bandwidth;RSS;2020-09-13T13:55:56;false;convergence alarm Home Loan Account;ubiquitous Keys;2020-09-13T15:33:32;false;schemas Adaptive Handcrafted;HTTP Meadow Chair;2020-09-13T10:09:29;14965;89270;89294;APPROVED;2020-09-13T20:02:43
9;Direct;Borders Health Electronics;Facilitator;false;false;false;New Hampshire;mesh Puerto Rico Tasty;Maldives initiatives Home;2020-09-13T17:29:06;withdrawal utilize Re-engineered;17764;82672;25221;46344;33456;35949;true;Greenland frame;architectures District invoice;2020-09-13T23:33:56;false;Movies mobile Wyoming;revolutionize;2020-09-13T18:42:25;false;Cliff payment Balanced;United Kingdom Global;2020-09-13T19:59:43;73636;70625;12398;OPEN;2020-09-14T03:51:21
10;Gateway;Springs best-of-breed Refined Metal Table;seize Metical archive;false;true;false;strategize Granite;Madagascar Virginia convergence;facilitate Ergonomic;2020-09-14T06:39:52;matrix;50692;45109;2980;16729;13686;44297;false;morph Lead;Applications Estonia Frozen;2020-09-14T00:20:49;true;Granite Intelligent Frozen Mouse;modular scalable;2020-09-13T20:03:49;false;Malta;International navigate Accounts;2020-09-14T07:50:51;5148;76465;47335;OPEN;2020-09-13T09:40:37
